Event ID,Event Name,Date,Number of Deaths,Country,Place,Description
1,1807 Newgate disaster,1807-02-23,30,United Kingdom,"Newgate Prison,
London","Dozens of spectators were crushed to death when part of a crowd of around 40,000 witnessing an execution at Newgate Prison surged forward after a wooden cart collapsed."
2,-,1809-03-29,5000,Portugal,"Ponte das Barcas [pt]
Oporto","Thousands of Portuguese civilians died trying to cross the Ponte das Barcas bridge in a desperate attempt to escape the troops of Marshal Soult who were assaulting Oporto during the Napoleonic Wars. The bridge of twenty barges was not able to sustain the weight of such a large amount of people, and collapsed."
3,Carnival tragedy of 1823,1823-02-12,110,Malta,Valletta,About 110 boys died in a crush while attempting to leave the Convent of the Minori Osservanti in Valletta during the Carnival celebrations.
4,Theatre Royal disaster,1849-02-19,65,United Kingdom,"Glasgow, Scotland","A human crush occurred at the Theatre Royal, Dunlop Street, when audience members rushed to escape the building during a fire."
5,-,1865-01-16,20,United Kingdom,"Dundee, Scotland","A crush occurred during admissions into Bell Street Hall for an upcoming promenade. The main entrance for the music hall was a downward flight of stairs with a set of inward opening gates. When the gates were opened, the force of the crowd pushed those in front down the areaway, which caused a pile-up that ultimately killed 20 people, three-quarters being between the ages of 12 and 18."
6,-,1872-10-10,19,Poland,Ostrów Wielkopolski,"19 women and children were killed in a stampede and resulting stairs collapse in a synagogue in Ostrów Wielkopolski during the fast of Yom Kippur. A failure of the gas lighting engulfed a synagogue balcony (apparently, the women's gallery) in darkness, causing panic among the women."
7,Brooklyn Theatre fire,1876-12-05,278,United States,"Brooklyn, New York","Crushes on gallery and balcony staircases during the Brooklyn Theatre fire delayed the evacuation of the building, a contributing factor in the deaths of at least 278 individuals."
8,-,1883-05-30,12,United States,"Brooklyn Bridge, New York","12 people were killed and dozens injured after a woman tripped on the stairway at the Brooklyn Bridge, which had been open for eight days at the time. The crush was exacerbated by fears the bridge was about to collapse."
9,Victoria Hall disaster,1883-06-16,183,United Kingdom,"Sunderland, Tyne and Wear","183 children aged between 3 and 14 were crushed when over 1,100 children surged down a blocked stairway to collect gifts from the entertainers after the end of a variety show in Sunderland."
10,-,1883-10-14,40,Russian Empire,"Ziwonka, Podolia",False shouts of fire in the women's gallery in the synagogue of Ziwonka caused a crush as people rushed towards the exit.
11,Khodynka Tragedy,1896-05-18,1389,Russian Empire,"Khodynka Field, Moscow","A crush of those desiring to get presents during the coronation of Tsar Nicholas II – 1,300 more were injured."
12,Shiloh Baptist Church disaster,1902-09-19,115,United States,"Birmingham, Alabama","The stampede claimed the lives of people attending a convention featuring Booker T. Washington, following a false fire alarm."
13,Iroquois Theatre Fire,1903-12-30,602,United States,"Chicago, Illinois",Many people died of crush asphyxiation in the rush to escape.
